SYS_StoreNo,TXN_Date,ECR_No,TXN_No,TXN_Item,TXN_Time,TXN_GUINo,PLU_No,DEP_No,VEN_No,CAT_No,TXN_Qty,PLU_FixPrc,PLU_SalePrc,TXN_DiscS,TXN_DiscM,TXN_DiscT,TXN_SaleAmt,TXN_SaleTax,TXN_SaleNoTax,TXN_Net,TXN_Tax,PLU_TaxType,MMP_No,MAM_No,MAM_Condition,MAM_TotAmt,MAM_CombNo,MAM_CombGrp,MAM_Method,TXN_Ref,TXN_AuthNo,TXN_AuthReason,TXN_GUIPageNo,TXN_Mode,TXN_Status,TXN_VIP,MAM_UnitPrc,MAN_ChangeNo,PLU_Disc,TXN_RebateS,TXN_RebateT,TXN_Ret_Cod,TXN_Except_Sta,PLU_MagNo,PLU_Type,PLU_Set_Code,TXN_ActualPrc,TXN_DiscP,SDEP_No,SCAT_No,TXN_Type,TXN_MINUS_GM_Amt,TXN_Coup_Disc_Amt,TXN_Sales,PLU_Health,PLU_HealthPrc,PLU_HealthBegDate,PLU_HealthEndDate,TXN_HealthAmt,TXN_DiscMebDiv,PLU_Gift,TXN_UseSalePrc,PLU_Source,MAM_UseScore,MAM_DoScore,MAM_MultiScore,TXN_DownMarginAmt,TXN_PayQuartAmt,TXN_PayQuart,CRT_Date,CRT_USR_No,UPD_Date,UPD_USR_No,PLU_Name
82102,1/16/2015 0:00,821022,64,3,1/16/2015 13:17,TN95857624,4710006774527,4,E0012K,40702,1,18,14,0,0,0,14,14,0,13.33,0.67,1,,,0,0,,,1,,,,0,R,N,N,14,,Y,0,0,,N,407028841521,1,,14,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,喵喵18元卡片(希
82102,1/16/2015 0:00,821022,64,4,1/16/2015 13:17,TN95857624,4713809548203,4,E0012K,40701,1,25,20,0,0,0,20,20,0,19.05,0.95,1,,,0,0,,,1,,,,0,R,N,N,20,,Y,0,0,,N,407018802648,1,,20,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,北極熊生日卡(氣
82102,1/16/2015 0:00,821022,64,5,1/16/2015 13:17,TN95857624,4712765867427,4,E0016K,40703,1,20,16,0,0,0,16,16,0,15.24,0.76,1,,,0,0,,,1,,,,0,R,N,N,16,,Y,0,0,,N,407038800839,1,,16,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,心意感謝卡
82102,1/16/2015 0:00,821022,64,6,1/16/2015 13:17,TN95857624,4713027198433,4,E0006K,40704,1,15,12,0,0,0,12,12,0,11.43,0.57,1,,,0,0,,,1,,,,0,R,N,N,12,,Y,0,0,,N,407048801901,1,,12,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,萬用禮卡-虹象 FK
82102,1/16/2015 0:00,821022,64,7,1/16/2015 13:17,TN95857624,4715709126871,5,E0502G,51002,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,510028812276,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,CKS BP-238彩格-
82102,1/16/2015 0:00,821022,64,8,1/16/2015 13:17,TN95857624,4715709126833,5,E0502G,51002,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,510028812306,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,CKS BP-238彩格-
82102,1/16/2015 0:00,821022,64,9,1/16/2015 13:17,TN95857624,4902778568156,5,E0501G,51003,1,48,27,0,0,0,27,27,0,25.71,1.29,1,,,0,0,,,1,,,,0,R,N,N,27,,Y,0,0,,N,510038800676,1,,27,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,UM151-藍.38
82102,1/16/2015 0:00,821022,64,10,1/16/2015 13:17,TN95857624,4715709126819,5,E0502G,51002,1,25,18,0,0,0,18,18,0,17.14,0.86,1,,,0,0,,,1,,,,0,R,N,N,18,,Y,0,0,,N,510028812092,1,,18,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,CKS BP-238彩格-
82102,1/16/2015 0:00,821022,64,11,1/16/2015 13:17,TN95857624,4710006775425,4,E0012K,40702,1,12,10,0,0,0,10,10,0,9.52,0.48,1,,,0,0,,,1,,,,0,R,N,N,10,,Y,0,0,,N,407028843075,1,,10,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,陳又凌小卡(慶祝)
82102,1/16/2015 0:00,821022,64,12,1/16/2015 13:17,TN95857624,4710006774541,4,E0012K,40702,1,18,14,0,0,0,14,14,0,13.33,0.67,1,,,0,0,,,1,,,,0,R,N,N,14,,Y,0,0,,N,407028841538,1,,14,0,,,S,0,0,,N,0,,,0,0,0,N,3,0,,0,0,0,0,1/16/2015 13:17,8888,,,喵喵18元卡片(最
